"","COLE_COD_DEPTO_UBICACION","COLE_DEPTO_UBICACION","Proporción"
"1",13,"BOLIVAR",0.0712575746240742
"2",8,"ATLANTICO",0.0698560820135375
"3",63,"QUINDIO",0.0644468313641246
"4",70,"SUCRE",0.0609109693648369
"5",68,"SANTANDER",0.0601368970013038
"6",44,"LA GUAJIRA",0.0562966074992123
"7",23,"CORDOBA",0.0560519902518278
"8",41,"HUILA",0.055213324207164
"9",54,"NORTE SANTANDER",0.0540746382330541
"10",95,"GUAVIARE",0.0516746411483254
"11",5,"ANTIOQUIA",0.051577056908744
"12",20,"CESAR",0.0515341078343759
"13",47,"MAGDALENA",0.0493663246831623
"14",94,"GUAINIA",0.0493506493506494
"15",85,"CASANARE",0.047992700729927
"16",66,"RISARALDA",0.0474590508189836
"17",11,"BOGOTÁ",0.0469253508748569
"18",18,"CAQUETA",0.0460208492245106
"19",76,"VALLE",0.0447195357833656
"20",97,"VAUPES",0.0438799076212471
"21",17,"CALDAS",0.0436986718037108
"22",73,"TOLIMA",0.0420951772596614
"23",81,"ARAUCA",0.0416263310745402
"24",50,"META",0.0411875750815171
"25",86,"PUTUMAYO",0.0404594100756983
"26",91,"AMAZONAS",0.0401948842874543
"27",52,"NARIÑO",0.0388384975954222
"28",27,"CHOCO",0.0374687760199834
"29",15,"BOYACA",0.0366984720090745
"30",99,"VICHADA",0.0360205831903945
"31",19,"CAUCA",0.0356437092878577
"32",25,"CUNDINAMARCA",0.0333256523993318
